Edad,Género,País de Residencia,Ciudad de Residencia (EEUU),Trabajo Autónomo,Historial Familiar,Búsqueda de Tratamiento con un Profesional,Cantidad de Empleados en la Empresa,Beneficios Dentro de Seguro Médico,Problemas de Salud Mental en Entrevista Laboral,Conocimiento de las Opciones de Cobertura por la Empresa Actual,Recursos de la Empresa Para Conocer sobre la Salud Mental y Canales de Ayuda,Facilidad de Consulta de Baja Médica en el Trabajo,Comodidad para Hablar de una Enfermedad Mental con Compañeros de Trabajo,Comodidad para Hablar de una Enfermedad Mental con un Director/Supervisor,Cobertura de Salud Mental en Seguro Médico,Beneficios de Salud Mental de Empleos Anteriores,Conocimiento de las Opciones de Ayuda por el Empleo Anterior,Protección de Anonimato Si Se Toma Ventaja de los Recursos de Tratamiento en Empleos Anteriores,Disposición de Hablar de Salud Mental con un Supervisor,Disposición para Hablar Sobre Enfermedad Mental con Familia/Amigos,Seguridad de Revelar Enfermedad Mental Debido a Comentario Sobre Salud Mental de Otra Persona,Situación Mental Actual,¿Alguna Vez Has Sido Diagnosticado con una Enfermedad Mental?,Nivel de Interferencia en el Trabajo Cuando Se Está Bajo Tratamiento,Nivel de Interferencia en el Trabajo Cuando No Se Está Bajo Tratamiento,Disposición a Revelar Enfermedad Mental a Empleados/Compañeros,Productividad Afectada Por Enfermedad Mental,Porcentaje de Tiempo Afectada Por Enfermedad Mental,¿Has Observado o Experimentado una Respuesta Insolidaria o Mal Gestionada a un Problema de Salud Mental en tu Lugar de Trabajo Actual o Anterior?,Importancia a la Salud Mental (Empresa),¿Cómo Afectó la Relación con Alguien de tu Trabajo el Haberle Contado sobre tu Enfermedad Mental?,¿Te Identificas Abiertamente en el Trabajo como una Persona con una Enfermedad Mental?,¿Tu Carrera Se Ha Visto Afectada por Tener una Enfermedad Mental?,"Si Supieran Que Padeces un Trastorno Mental, ¿Cómo Crees Que Reaccionarían los Miembros de tu Equipo/Compañeros de Trabajo?",¿Has Observado o Experimentado una Respuesta Positiva De Compañeros/Jefes al Saber que Tienes una Enfermedad Mental?,¿En qué Medida Cree que el Sector Tecnológico Apoya a los Empleados con Enfermedades Mentales?,Raza
45,Masculino,Estados Unidos,Illinois,Si,No,No,No respondió,No respondió,No,No respondió,No respondió,No respondió,No respondió,No respondió,Si,Algunos lo hicieron,Conocía algunas,"Si, siempre","No, con ninguno de mis supervisores anteriores",Neutral,No,Si,Si,Raramente,A menudo,"Depende, si me lo preguntan",Si,26-50%,Tal vez/No estoy seguro(a),No respondió,No estoy seguro(a),No,No respondió,Normal,Tal vez/No estoy seguro(a),Más o menos,Blanco(a)
28,Masculino,Estados Unidos,Oregon,No,No sé,Si,500-1000,Si,No,Si,No lo sé,Fácil,Tal vez,Si,No respondió,Algunos lo hicieron,Conocía algunas,A veces,Con algunos de mis jefes anteriores,Muy dispuesto,No,Si,Si,Raramente,A veces,No respondió,No respondió,No respondió,Tal vez/No estoy seguro(a),Medianamente importante,No respondió,No,No respondió,Me entiende(n),Tal vez/No estoy seguro(a),Más o menos,Blanco(a)
31,Otro,Estados Unidos,Oregon,No,Si,Si,100-500,Si,No,No,Si,Fácil,Tal vez,Si,No respondió,Algunos lo hicieron,Conocía algunas,No lo sé,Con algunos de mis jefes anteriores,Muy dispuesto,No,Si,Si,A veces,A menudo,No respondió,No respondió,No respondió,"Si, lo he visto",Medianamente importante,No respondió,Si,No,Me entiende(n),"Si, me ha pasado",Más o menos,Blanco(a)
27,Femenino,Estados Unidos,Texas,No,Si,No,Más de 1000,Si,Tal vez,Si,Si,No sé,No,No,No respondió,No sé,Conocía muy pocas,No lo sé,"No, con ninguno de mis supervisores anteriores",Muy dispuesto,No respondió,No lo sé,No respondió,No tengo una enfermedad mental,No tengo una enfermedad mental,No respondió,No respondió,No respondió,No,Medianamente importante,No respondió,No,No respondió,Normal,Tal vez/No estoy seguro(a),Más o menos,Negro(a) o Afroamericano(a)
37,Masculino,Estados Unidos,California,No,Si,Si,Más de 1000,No,No,Si,No,Difícil,No,No,No respondió,"No, ninguno lo hizo",No me ofrecieron ninguna,No,"No, con ninguno de mis supervisores anteriores",No estoy dispuesto(a),Si,Si,Si,Raramente,A menudo,No respondió,No respondió,No respondió,"Si, lo he visto",Nada importante,No respondió,No,No respondió,Muy mal,No,Nada,Blanco(a)
53,Femenino,Estados Unidos,Oregon,No,Si,Si,100-500,Si,No,Si,No lo sé,Muy fácil,Si,No,No respondió,Algunos lo hicieron,Conocía algunas,No lo sé,"Si, con todos mis supervisores anteriores",Muy dispuesto,No,No,No respondió,No tengo una enfermedad mental,No tengo una enfermedad mental,No respondió,No respondió,No respondió,No,Medianamente importante,No respondió,No,No respondió,Normal,"Si, lo he visto",Poco,Blanco(a)
25,Femenino,Estados Unidos,Nueva York,No,Si,Si,1-5,No lo sé,No,No,No,Difícil,Tal vez,No,No respondió,"No, ninguno lo hizo",Conocía muy pocas,No lo sé,"No, con ninguno de mis supervisores anteriores",Muy dispuesto,Tal vez,Si,Si,Raramente,A menudo,No respondió,No respondió,No respondió,No,Muy poco importante,No respondió,No,No respondió,No creo que le(s) importe,No,Nada,Prefiero no responder
29,Femenino,Estados Unidos,Wisconsin,No,Si,Si,6-25,No elegible/Sin cobertura,No,No respondió,No lo sé,Difícil,Tal vez,Tal vez,No respondió,No sé,Conocía muy pocas,No lo sé,"No, con ninguno de mis supervisores anteriores",Muy dispuesto,Tal vez,Si,Si,A veces,A menudo,No respondió,No respondió,No respondió,Tal vez/No estoy seguro(a),Moderadamente importante,No respondió,No,No respondió,Normal,Tal vez/No estoy seguro(a),Poco,Blanco(a)
47,Masculino,Estados Unidos,Tennessee,No,No sé,No,26-100,Si,No,No,Si,Difícil,Tal vez,Si,No respondió,No respondió,No respondió,No respondió,No respondió,Muy dispuesto,No,No,No respondió,No tengo una enfermedad mental,No tengo una enfermedad mental,No respondió,No respondió,No respondió,No,Muy importante,No respondió,No,No respondió,Me entiende(n),"Si, me ha pasado",Más o menos,Blanco(a)
36,Masculino,Estados Unidos,Tennessee,Si,No,No,No respondió,No respondió,Tal vez,No respondió,No respondió,No respondió,No respondió,No respondió,No,"Si, todos lo hicieron","No, las conocí después",No lo sé,"No, con ninguno de mis supervisores anteriores",No dispuesto(a),No respondió,No,No respondió,No tengo una enfermedad mental,No tengo una enfermedad mental,No tengo una enfermedad mental,No,No respondió,No,No respondió,No tengo una enfermedad mental,No,No respondió,Normal,No,Más o menos,Blanco(a)
61,Masculino,Estados Unidos,Massachusetts,No,Si,Si,Más de 1000,Si,No,No,No lo sé,Difícil,Tal vez,Tal vez,No respondió,"Si, todos lo hicieron",Conocía muy pocas,No lo sé,Con algunos de mis jefes anteriores,Muy dispuesto,No,No lo sé,No respondió,Raramente,A menudo,No respondió,No respondió,No respondió,"Si, lo he visto",Poco importante,No respondió,No,No respondió,Normal,Tal vez/No estoy seguro(a),Poco,Blanco(a)
28,Otro,Estados Unidos,Kentucky,No,No,No,6-25,Si,No,No,No lo sé,No sé,Tal vez,Tal vez,No respondió,Algunos lo hicieron,Conocía algunas,"Si, siempre",Con algunos de mis jefes anteriores,Muy dispuesto,Si,Seguramente si,No respondió,A veces,A menudo,No respondió,No respondió,No respondió,No,Medianamente importante,No respondió,No,No respondió,Muy bien,"Si, lo he visto",Lo suficiente,Blanco(a)
31,Masculino,Estados Unidos,Illinois,No,Si,Si,500-1000,Si,Tal vez,Si,No,No sé,Si,Si,No respondió,No sé,No me ofrecieron ninguna,No,Con algunos de mis jefes anteriores,Muy dispuesto,No,Seguramente si,No respondió,No tengo una enfermedad mental,No tengo una enfermedad mental,No respondió,No respondió,No respondió,No,Importante,No respondió,No,No respondió,Me entiende(n),"Si, lo he visto",Más o menos,Blanco(a)
40,Masculino,Estados Unidos,Georgia,No,Si,Si,26-100,No lo sé,Tal vez,No,No lo sé,Fácil,Tal vez,Si,No respondió,Algunos lo hicieron,Conocía algunas,"Si, siempre",Con algunos de mis jefes anteriores,Muy dispuesto,No,Si,Si,Raramente,A menudo,No respondió,No respondió,No respondió,No,Medianamente importante,No respondió,No,No respondió,Me entiende(n),"Si, lo he visto",Lo suficiente,Blanco(a)
32,Masculino,Estados Unidos,Colorado,Si,No,No,No respondió,No respondió,Tal vez,No respondió,No respondió,No respondió,No respondió,No respondió,No,Algunos lo hicieron,Conocía muy pocas,No lo sé,Con algunos de mis jefes anteriores,Muy dispuesto,No,No,No respondió,No tengo una enfermedad mental,No tengo una enfermedad mental,No tengo una enfermedad mental,No tengo una enfermedad mental,No respondió,No,No respondió,No tengo una enfermedad mental,No,No respondió,Muy bien,No,Poco,Blanco(a)
41,Masculino,Estados Unidos,Texas,No,No,No,26-100,Si,No,No,No lo sé,Fácil,Si,Si,No respondió,Algunos lo hicieron,Conocía algunas,"Si, siempre","Si, con todos mis supervisores anteriores",Muy dispuesto,No,No,No respondió,A veces,Raramente,No respondió,No respondió,No respondió,No,Medianamente importante,No respondió,No,No respondió,Me entiende(n),No,Poco,Blanco(a)
34,Masculino,Estados Unidos,Minnesota,No,No,Si,6-25,Si,No,Si,Si,Difícil,No,Tal vez,No respondió,Algunos lo hicieron,Conocía algunas,A veces,Con algunos de mis jefes anteriores,Muy dispuesto,Tal vez,Si,Si,Raramente,Raramente,No respondió,No respondió,No respondió,"Si, lo he visto",Medianamente importante,No respondió,No,No respondió,Sin comentarios,"Si, me ha pasado",Más o menos,Blanco(a)
31,Femenino,Estados Unidos,Illinois,No,Si,Si,6-25,No lo sé,No,No,No,Más o menos,Tal vez,Tal vez,No respondió,Algunos lo hicieron,"No, las conocí después",No,"No, con ninguno de mis supervisores anteriores",No estoy dispuesto(a),Si,Si,Si,A menudo,A menudo,No respondió,No respondió,No respondió,"Si, lo he visto",Moderadamente importante,No respondió,No,No respondió,Sin comentarios,No,Más o menos,Blanco(a)
35,Femenino,Estados Unidos,Maryland,No,No sé,Si,Más de 1000,Si,No,Si,No lo sé,Muy fácil,Si,Si,No respondió,"Si, todos lo hicieron","Si, las conocía","Si, siempre","No, con ninguno de mis supervisores anteriores",Muy dispuesto,Tal vez,Si,Si,A menudo,A menudo,No respondió,No respondió,No respondió,No,Algo importante,No respondió,Si,No,Muy bien,No,Lo suficiente,Negro(a) o Afroamericano(a)
27,Femenino,Estados Unidos,California,No,Si,Si,500-1000,Si,No,Si,Si,Fácil,Si,Tal vez,No respondió,No sé,Conocía muy pocas,No lo sé,Con algunos de mis jefes anteriores,Muy dispuesto,No,Seguramente si,No respondió,No tengo una enfermedad mental,No tengo una enfermedad mental,No respondió,No respondió,No respondió,"Si, me ha pasado",Importante,No respondió,No,No respondió,No creo que le(s) importe,Tal vez/No estoy seguro(a),Poco,Negro(a) o Afroamericano(a)
42,Femenino,Estados Unidos,Texas,No,Si,Si,100-500,Si,No,No,Si,Fácil,Tal vez,Si,No respondió,"Si, todos lo hicieron","Si, las conocía","Si, siempre",Con algunos de mis jefes anteriores,Dispuesto(a),No respondió,No,No respondió,Raramente,A veces,No respondió,No respondió,No respondió,No,Importante,No respondió,No,No respondió,Bien,No,Más o menos,Blanco(a)
67,Femenino,Estados Unidos,Tennessee,Si,No,Si,No respondió,No respondió,No,No respondió,No respondió,No respondió,No respondió,No respondió,Si,"Si, todos lo hicieron",Conocía algunas,"Si, siempre",Con algunos de mis jefes anteriores,Neutral,No respondió,No,No respondió,Raramente,No tengo una enfermedad mental,"Depende, si me lo preguntan",No tengo una enfermedad mental,No respondió,"Si, lo he visto",No respondió,Cambió positivamente,No,No respondió,Normal,"Si, me ha pasado",Poco,Blanco(a)
56,Otro,Estados Unidos,California,No,Si,Si,Más de 1000,Si,No,Si,No,Fácil,No,No,No respondió,Algunos lo hicieron,Conocía algunas,No lo sé,"No, con ninguno de mis supervisores anteriores",Muy dispuesto,No respondió,Si,Si,Raramente,A menudo,No respondió,No respondió,No respondió,"Si, lo he visto",Poco importante,No respondió,No,No respondió,No creo que le(s) importe,"Si, lo he visto",Más o menos,Blanco(a)
27,Femenino,Estados Unidos,Indiana,No,Si,Si,6-25,Si,No,No,No,Más o menos,Tal vez,Tal vez,No respondió,"No, ninguno lo hizo","No, las conocí después",No lo sé,Con algunos de mis jefes anteriores,Muy dispuesto,Si,Si,Si,A menudo,A menudo,No respondió,No respondió,No respondió,"Si, me ha pasado",Moderadamente importante,No respondió,No,No respondió,Normal,"Si, me ha pasado",Más o menos,Negro(a) o Afroamericano(a)
39,Masculino,Estados Unidos,Nebraska,No,Si,No,Más de 1000,Si,No,No,No lo sé,Difícil,Tal vez,Si,No respondió,"Si, todos lo hicieron",Conocía algunas,"Si, siempre",Con algunos de mis jefes anteriores,Muy dispuesto,Tal vez,Seguramente si,No respondió,Raramente,A menudo,No respondió,No respondió,No respondió,Tal vez/No estoy seguro(a),Medianamente importante,No respondió,No,No respondió,Muy bien,"Si, lo he visto",Más o menos,Blanco(a)
30,Femenino,Estados Unidos,Ohio,No,Si,Si,6-25,No elegible/Sin cobertura,No,No respondió,No,No sé,Tal vez,Tal vez,No respondió,Algunos lo hicieron,Conocía algunas,No lo sé,Con algunos de mis jefes anteriores,Muy dispuesto,Tal vez,Si,Si,Raramente,A menudo,No respondió,No respondió,No respondió,"Si, me ha pasado",Medianamente importante,No respondió,No,No respondió,Bien,"Si, me ha pasado",Más o menos,Blanco(a)
45,Femenino,Estados Unidos,Illinois,No,Si,Si,500-1000,Si,No,Si,Si,Difícil,Tal vez,Tal vez,No respondió,Algunos lo hicieron,Conocía algunas,No lo sé,"No, con ninguno de mis supervisores anteriores",Muy dispuesto,Si,Si,Si,A veces,A veces,No respondió,No respondió,No respondió,Tal vez/No estoy seguro(a),Medianamente importante,No respondió,No,No respondió,No creo que le(s) importe,No,Más o menos,Blanco(a)
38,Femenino,Estados Unidos,Illinois,No,Si,Si,Más de 1000,No elegible/Sin cobertura,No,No respondió,No,No sé,Tal vez,Tal vez,No respondió,Algunos lo hicieron,Conocía algunas,No lo sé,Con algunos de mis jefes anteriores,Neutral,Tal vez,Si,Si,A veces,A menudo,No respondió,No respondió,No respondió,"Si, me ha pasado",Nada importante,No respondió,No,No respondió,Muy mal,No,Nada,Multiracial
41,Masculino,Estados Unidos,Illinois,No,No,No,26-100,Si,No,Si,No lo sé,Muy fácil,No,Si,No respondió,"No, ninguno lo hizo",Conocía muy pocas,No lo sé,"No, con ninguno de mis supervisores anteriores",Neutral,No respondió,No,No respondió,No tengo una enfermedad mental,No tengo una enfermedad mental,No respondió,No respondió,No respondió,Tal vez/No estoy seguro(a),Importante,No respondió,No,No respondió,Normal,Tal vez/No estoy seguro(a),Mucho,Blanco(a)
37,Masculino,Estados Unidos,Nueva Jersey,No,Si,Si,100-500,Si,No,Si,Si,Fácil,Si,Tal vez,No respondió,No sé,Conocía muy pocas,No lo sé,"No, con ninguno de mis supervisores anteriores",Dispuesto(a),No,Si,Si,Raramente,A veces,No respondió,No respondió,No respondió,No,Medianamente importante,No respondió,No,No respondió,Normal,"Si, me ha pasado",Más o menos,Blanco(a)
33,Otro,Estados Unidos,Illinois,No,No,No,26-100,No lo sé,No,No,No,Muy fácil,No,No,No respondió,No sé,Conocía muy pocas,No lo sé,"No, con ninguno de mis supervisores anteriores",Muy dispuesto,No,No,No respondió,No tengo una enfermedad mental,No tengo una enfermedad mental,No respondió,No respondió,No respondió,No,Algo importante,No respondió,No,No respondió,Me entiende(n),"Si, lo he visto",Lo suficiente,Prefiero no responder
28,Otro,Estados Unidos,Illinois,No,Si,Si,26-100,Si,No,Si,Si,Muy fácil,Tal vez,Si,No respondió,"Si, todos lo hicieron","Si, las conocía","Si, siempre","No, con ninguno de mis supervisores anteriores",Muy dispuesto,No,Si,Si,A veces,A menudo,No respondió,No respondió,No respondió,"Si, me ha pasado",Muy importante,No respondió,Si,Si,Muy bien,"Si, me ha pasado",Más o menos,Blanco(a)
34,Otro,Estados Unidos,Illinois,Si,Si,Si,No respondió,No respondió,No,No respondió,No respondió,No respondió,No respondió,No respondió,Si,"Si, todos lo hicieron","Si, las conocía",No lo sé,Con algunos de mis jefes anteriores,Neutral,No respondió,Si,Si,A veces,A menudo,"No, influiriá negativamente",Si,51-75%,"Si, lo he visto",No respondió,No tengo una enfermedad mental,No,No respondió,Sin comentarios,Tal vez/No estoy seguro(a),Poco,Blanco(a)
28,Otro,Estados Unidos,Massachusetts,No,Si,Si,500-1000,Si,No,Si,No,Más o menos,Si,Si,No respondió,Algunos lo hicieron,"No, las conocí después",No lo sé,"No, con ninguno de mis supervisores anteriores",Neutral,Si,Si,Si,Nunca,A menudo,No respondió,No respondió,No respondió,"Si, lo he visto",Medianamente importante,No respondió,No,No respondió,No creo que le(s) importe,No,Más o menos,Blanco(a)
38,Masculino,Estados Unidos,Illinois,No,Si,Si,Más de 1000,Si,No,No,Si,No sé,Si,Tal vez,No respondió,Algunos lo hicieron,Conocía algunas,A veces,Con algunos de mis jefes anteriores,Muy dispuesto,No,Si,Si,A veces,A veces,No respondió,No respondió,No respondió,Tal vez/No estoy seguro(a),Medianamente importante,No respondió,No,No respondió,Muy bien,"Si, me ha pasado",Poco,Blanco(a)
42,Masculino,Estados Unidos,California,No,No,Si,Más de 1000,Si,No,Si,Si,Fácil,Tal vez,No,No respondió,No respondió,No respondió,No respondió,No respondió,Muy dispuesto,Tal vez,No,No respondió,No tengo una enfermedad mental,No tengo una enfermedad mental,No respondió,No respondió,No respondió,"Si, lo he visto",Medianamente importante,No respondió,No,No respondió,Normal,"Si, lo he visto",Más o menos,Blanco(a)
28,Femenino,Estados Unidos,California,No,Si,No,100-500,Si,No,No,No,Fácil,Tal vez,Tal vez,No respondió,"No, ninguno lo hizo",Conocía algunas,No lo sé,Con algunos de mis jefes anteriores,No estoy dispuesto(a),No,Si,Si,Nunca,A menudo,No respondió,No respondió,No respondió,Tal vez/No estoy seguro(a),Moderadamente importante,No respondió,No,No respondió,Bien,"Si, lo he visto",Más o menos,Blanco(a)
30,Otro,Estados Unidos,California,No,Si,Si,Más de 1000,Si,No,Si,Si,No sé,Si,Si,No respondió,Algunos lo hicieron,"Si, las conocía",No lo sé,Con algunos de mis jefes anteriores,Muy dispuesto,Si,Si,Si,A veces,A menudo,No respondió,No respondió,No respondió,"Si, lo he visto",Importante,No respondió,No,No respondió,Bien,"Si, lo he visto",Poco,Blanco(a)
44,Masculino,Estados Unidos,California,No,Si,Si,Más de 1000,Si,No,Si,Si,Difícil,Si,No,No respondió,Algunos lo hicieron,Conocía algunas,No lo sé,Con algunos de mis jefes anteriores,Muy dispuesto,No,Seguramente si,No respondió,Raramente,A menudo,No respondió,No respondió,No respondió,"Si, me ha pasado",Muy poco importante,No respondió,No,No respondió,Me entiende(n),No,Nada,Blanco(a)
28,Otro,Estados Unidos,Ohio,No,Si,Si,500-1000,Si,No,No,No,No sé,No,Si,No respondió,Algunos lo hicieron,Conocía muy pocas,No lo sé,"No, con ninguno de mis supervisores anteriores",No estoy dispuesto(a),Si,Si,Si,A veces,A menudo,No respondió,No respondió,No respondió,"Si, lo he visto",Nada importante,No respondió,No,No respondió,Indiferente,"Si, me ha pasado",Poco,Blanco(a)
41,Femenino,Estados Unidos,Oregon,No,Si,Si,Más de 1000,Si,No,No,No lo sé,Muy fácil,Si,Tal vez,No respondió,No sé,Conocía muy pocas,No lo sé,"No, con ninguno de mis supervisores anteriores",Muy dispuesto,Si,Seguramente si,No respondió,A veces,A menudo,No respondió,No respondió,No respondió,"Si, lo he visto",Medianamente importante,No respondió,No,No respondió,No creo que le(s) importe,"Si, lo he visto",Poco,Blanco(a)
38,Otro,Estados Unidos,Missouri,No,No,No,26-100,Si,Tal vez,No,Si,Fácil,Tal vez,Tal vez,No respondió,Algunos lo hicieron,Conocía algunas,No lo sé,Con algunos de mis jefes anteriores,Muy dispuesto,No respondió,No,No respondió,No tengo una enfermedad mental,No tengo una enfermedad mental,No respondió,No respondió,No respondió,No,Medianamente importante,No respondió,No,No respondió,Bien,No,Más o menos,Blanco(a)
37,Masculino,Estados Unidos,Texas,No,No sé,Si,100-500,Si,Tal vez,Si,No lo sé,No sé,Tal vez,Tal vez,No respondió,Algunos lo hicieron,Conocía muy pocas,No lo sé,Con algunos de mis jefes anteriores,Muy dispuesto,No,Si,Si,A veces,A menudo,No respondió,No respondió,No respondió,Tal vez/No estoy seguro(a),Algo importante,No respondió,No,No respondió,Normal,"Si, me ha pasado",Más o menos,Blanco(a)
33,Masculino,Estados Unidos,Tennessee,No,No,No,Más de 1000,No lo sé,Tal vez,No,No lo sé,Más o menos,Tal vez,Tal vez,No respondió,No respondió,No respondió,No respondió,No respondió,Neutral,No respondió,No,No respondió,No tengo una enfermedad mental,No tengo una enfermedad mental,No respondió,No respondió,No respondió,No,Medianamente importante,No respondió,No,No respondió,Normal,No,Más o menos,Blanco(a)
35,Femenino,Estados Unidos,Pensilvania,No,No sé,Si,Más de 1000,Si,Tal vez,Si,Si,Fácil,Si,Tal vez,No respondió,"Si, todos lo hicieron","Si, las conocía",No lo sé,Con algunos de mis jefes anteriores,Muy dispuesto,Tal vez,Si,Si,Raramente,A veces,No respondió,No respondió,No respondió,"Si, lo he visto",Algo importante,No respondió,Si,No,Muy bien,"Si, me ha pasado",Más o menos,Blanco(a)
43,Masculino,Estados Unidos,Iowa,No,No,Si,Más de 1000,Si,Tal vez,Si,No,Fácil,Tal vez,Tal vez,No respondió,Algunos lo hicieron,Conocía algunas,No lo sé,Con algunos de mis jefes anteriores,Dispuesto(a),No respondió,Si,Si,Raramente,A menudo,No respondió,No respondió,No respondió,No,Medianamente importante,No respondió,No,No respondió,Normal,Tal vez/No estoy seguro(a),Más o menos,Blanco(a)
34,Masculino,Estados Unidos,Idaho,No,Si,Si,26-100,No elegible/Sin cobertura,Si,No respondió,Si,Muy fácil,Si,Si,No respondió,No respondió,No respondió,No respondió,No respondió,Muy dispuesto,No,Seguramente si,No respondió,No tengo una enfermedad mental,No tengo una enfermedad mental,No respondió,No respondió,No respondió,No,Sumamente importante,No respondió,Si,No,Me apoya(n) mucho,"Si, me ha pasado",Lo suficiente,Blanco(a)
44,Femenino,Estados Unidos,Illinois,No,Si,Si,1-5,No,No,No respondió,Si,Fácil,Tal vez,Si,No respondió,Algunos lo hicieron,"No, las conocí después",No lo sé,Con algunos de mis jefes anteriores,Muy dispuesto,No,Seguramente si,No respondió,A veces,A menudo,No respondió,No respondió,No respondió,Tal vez/No estoy seguro(a),Importante,No respondió,Si,No,Muy bien,"Si, me ha pasado",Nada,Blanco(a)
38,Masculino,Estados Unidos,Washington,No,Si,Si,500-1000,Si,No,Si,Si,Fácil,Tal vez,Si,No respondió,Algunos lo hicieron,"Si, las conocía","Si, siempre",Con algunos de mis jefes anteriores,Muy dispuesto,No,Si,Si,A veces,A menudo,No respondió,No respondió,No respondió,Tal vez/No estoy seguro(a),Medianamente importante,No respondió,Si,No,Bien,"Si, lo he visto",Más o menos,Blanco(a)
55,Masculino,Estados Unidos,Tennessee,No,No,No,1-5,No,Tal vez,No respondió,No,Fácil,Tal vez,Tal vez,No respondió,Algunos lo hicieron,Conocía algunas,No lo sé,Con algunos de mis jefes anteriores,No dispuesto(a),No,No,No respondió,A veces,No tengo una enfermedad mental,No respondió,No respondió,No respondió,No,Medianamente importante,No respondió,No,No respondió,No creo que le(s) importe,No,Más o menos,Prefiero no responder
37,Masculino,Estados Unidos,Pensilvania,No,Si,Si,100-500,Si,No,Si,No lo sé,Difícil,No,No,No respondió,No sé,Conocía muy pocas,No lo sé,"No, con ninguno de mis supervisores anteriores",No estoy dispuesto(a),No respondió,Si,Si,Raramente,A menudo,No respondió,No respondió,No respondió,No,Nada importante,No respondió,No,No respondió,Indiferente,No,Poco,Blanco(a)
39,Masculino,Estados Unidos,Illinois,No,No,No,100-500,Si,No,No,Si,Muy fácil,Si,Tal vez,No respondió,No sé,Conocía muy pocas,No lo sé,No sé,Muy dispuesto,No respondió,No,No respondió,No tengo una enfermedad mental,No tengo una enfermedad mental,No respondió,No respondió,No respondió,No,Algo importante,No respondió,No,No respondió,Me entiende(n),Tal vez/No estoy seguro(a),Más o menos,Blanco(a)
23,Otro,Estados Unidos,Massachusetts,No,No sé,No,Más de 1000,Si,No,Si,Si,Más o menos,Tal vez,Tal vez,No respondió,Algunos lo hicieron,"No, las conocí después",No lo sé,Con algunos de mis jefes anteriores,No estoy dispuesto(a),No,Seguramente si,No respondió,Raramente,A veces,No respondió,No respondió,No respondió,"Si, lo he visto",Algo importante,No respondió,No,No respondió,No creo que le(s) importe,No,Poco,Blanco(a)
34,Femenino,Estados Unidos,Washington,Si,No sé,No,No respondió,No respondió,No,No respondió,No respondió,No respondió,No respondió,No respondió,Si,Algunos lo hicieron,Conocía muy pocas,No lo sé,"Si, con todos mis supervisores anteriores",No dispuesto(a),No respondió,No,No respondió,No tengo una enfermedad mental,No tengo una enfermedad mental,No tengo una enfermedad mental,No tengo una enfermedad mental,No respondió,No,No respondió,No tengo una enfermedad mental,No,No respondió,Bien,"Si, lo he visto",Más o menos,Blanco(a)
43,Masculino,Estados Unidos,Texas,No,No sé,Si,26-100,Si,No,No,No,Difícil,Tal vez,Tal vez,No respondió,Algunos lo hicieron,Conocía muy pocas,No lo sé,No sé,Muy dispuesto,No,Si,Si,A veces,A veces,No respondió,No respondió,No respondió,No,Algo importante,No respondió,No,No respondió,Normal,"Si, lo he visto",Más o menos,Blanco(a)
29,Masculino,Estados Unidos,Tennessee,No,Si,Si,6-25,No lo sé,Tal vez,No,No lo sé,Más o menos,Tal vez,Si,No respondió,"No, ninguno lo hizo",No me ofrecieron ninguna,"Si, siempre",No sé,Muy dispuesto,Tal vez,Si,Si,Raramente,A veces,No respondió,No respondió,No respondió,Tal vez/No estoy seguro(a),Medianamente importante,No respondió,No,No respondió,Bien,Tal vez/No estoy seguro(a),Más o menos,Blanco(a)
25,Masculino,Estados Unidos,Nebraska,No,Si,No,6-25,No,Tal vez,No respondió,No,Fácil,Si,Si,No respondió,No sé,Conocía muy pocas,No lo sé,"No, con ninguno de mis supervisores anteriores",Muy dispuesto,No,Seguramente si,No respondió,No tengo una enfermedad mental,No tengo una enfermedad mental,No respondió,No respondió,No respondió,No,Moderadamente importante,No respondió,No,No respondió,Me entiende(n),"Si, lo he visto",Más o menos,Blanco(a)
36,Masculino,Estados Unidos,Ohio,No,No sé,No,6-25,Si,No,Si,No,Muy fácil,No,Tal vez,No respondió,No sé,Conocía muy pocas,No lo sé,"No, con ninguno de mis supervisores anteriores",No estoy dispuesto(a),No,No lo sé,No respondió,No tengo una enfermedad mental,No tengo una enfermedad mental,No respondió,No respondió,No respondió,Tal vez/No estoy seguro(a),Medianamente importante,No respondió,No,No respondió,Bien,Tal vez/No estoy seguro(a),Más o menos,Blanco(a)
33,Masculino,Estados Unidos,Washington,No,No,Si,100-500,Si,No,Si,No,Muy fácil,Si,Si,No respondió,"No, ninguno lo hizo","No, las conocí después","Si, siempre",Con algunos de mis jefes anteriores,Dispuesto(a),No,No lo sé,No respondió,Raramente,A menudo,No respondió,No respondió,No respondió,"Si, lo he visto",Moderadamente importante,No respondió,No,No respondió,Muy bien,"Si, lo he visto",Más o menos,No respondió
34,Otro,Estados Unidos,Tennessee,No,Si,No,100-500,Si,Tal vez,No,No lo sé,Fácil,Si,Si,No respondió,Algunos lo hicieron,Conocía algunas,"Si, siempre",Con algunos de mis jefes anteriores,Muy dispuesto,No,No,No respondió,No tengo una enfermedad mental,No tengo una enfermedad mental,No respondió,No respondió,No respondió,"Si, lo he visto",Medianamente importante,No respondió,No,No respondió,Normal,"Si, lo he visto",Más o menos,Blanco(a)
